delegator_address,node_identity_id,last_claimed_epoch
0x67bcf422cf756d34f8abaede9082391e0f460374,16,6
0x70978f453c9ac86817bb4ae2fe3fb985f3aa5c0a,16,6
0xc3bd46c54286cd0bd386eee8000ac3db0cafad01,16,6
0x48e3d72961360c382548d42bb4dda346386bf01c,16,6
0xda3c72d83b40acd5301d8fcf30bf6648b0e6401b,16,6
0x1f70ab7a96554f0cc1f6a4c57f2b244e8cba2f92,16,6
0x07ceae37d0cff6baeb729b885e36527bd123baeb,16,6
0x09f331cddd8b2a3eac1169e938133371c3fce528,16,6
0xc6e93ef0f898626928fcb7f5c8563afa3d303d8d,16,6
0x42d9c67a77773fade2b14fb4aec95fbce61e23ee,16,6
0xa053d9d31596b505c7ba2129b31193a1c37473af,16,6
0x1eff243cc9f239e69df647a2d2be0b536c3b42a0,16,6
0x24a69b6034ebbd70a215234e48e5a87515bdbecd,16,6
0x98e7d41cb1822fc5e86f41c0290561cffcf87e99,16,6
0xf92ae35665eee1ec37ea88ff7669f34ac14a7c6c,16,6
0xcce967d8f21b62c5eb3fc5040c1677ef4cde54ba,16,6
0x67f63eba2a4dc296237ffc11192c1f9769a646a8,16,6
0x874d218e6d28534d7af5ff97674be65eda375b18,17,6
0xc3bd46c54286cd0bd386eee8000ac3db0cafad01,17,6
0x2b2616a7f474554ac4dac7b23d020b02525ab6bb,17,6
0xfe8c1e0d733815bdd889144ea721a39b44fda866,17,6
0x44b1bae7719350aaf9b91215332de4eea239fe8a,17,6
0xe58204e201456ac0c595f66ab0aa35fb9c55d461,17,6
0x6f4345bca4ac638d80db7da11cf735bff189c2c8,17,6
0xb7489f301092389cc327d90efeaf18c253038951,17,6
0xeb4f3983e82fc975d87132aee780e893eb8fec08,17,6
0x3008f3c33fefb6f0fafd749cac0101f326a7cfb3,17,6
0x48e3d72961360c382548d42bb4dda346386bf01c,17,6
0xcaecfcd6ce3d265b947d28d6e84b7164595ffa7a,17,6
0xcf3f1e9d688283c105cf8301eecd905b23e9e807,17,6
0xaa6ac66852739b8b88f8e6605c0b0fa775d1ed61,17,6
0xb98bd08341ea110088d2bce3ca09ac9ad18290cf,17,6
0xd75c8fdd2d14f53848abd34c7c9748dc3e78341a,17,6
0x476bb16b25d552485bb1e2441aa06bd329d903be,17,6
0xadb1a76cdac5f9440dcab127f99af52ab4b996af,17,6
0x3f203b41906c0d099dc82b7c71adc27de4323001,17,6
0x613f0b91a8e9ebcb8ddd527136bc21caad2c4981,17,6
0x37d0ab7f87c6790a53f6ac8ab3950bc6f77bb9bd,17,6
0x3f0c43a28e2ff930d194a42b97dfe2ae06c5f5ec,17,6
0x22b750c56a1e6e20799d470a8949896dc3f55c45,17,6
0x10c7aafb769bec2db2a872d9019d2c70f85a618c,17,6
0x12c7ee5ccae17bf92ecd80933587f9b40430fcb1,17,6
0x4b096f14938a5bf00dda4ae63fa5c079c658b8a8,17,6
0x51bc3dd10a9ee4946f961038cf5d50057e49eb77,17,6
0x88e6f41c171c823c2e9242f9ec4dbf8b544b39c0,17,6
0xa38c19d25ad4001a901c1e2c9df689c4bc14c222,17,6
0xb7cb2610712e9c7b4dc21752e196b1d893944d13,17,6
0xce8453cc4200c37b25fef3c8c90f544d1370e248,17,6
0x95420c8f22c95e94f0c443d4c075b819644014b0,17,6
0xc6e93ef0f898626928fcb7f5c8563afa3d303d8d,17,6
0x42d9c67a77773fade2b14fb4aec95fbce61e23ee,18,6
0xef1718b4e84b47a63ec9fe66eb2a787b33c3989b,18,6
0xcc5ef20cffe5c184892e9302d879b189f7c7da53,20,6
0x48ed67c359e46d6ad9173de87d6e7f45b56de3a0,24,6
0x712ee4a3b10f4598e00d0f85b88d827d493d0940,24,6
0x2b2616a7f474554ac4dac7b23d020b02525ab6bb,24,6
0x5ef5d89ab637d941a82fc30872abebec02d3e3f1,24,6
0xe6b4accc6a58d5998ce7d0740e471e2cde0d3cfa,24,6
