block_number,block_timestamp,tx_index,msg_sender,transaction_hash,contract_name,function_name,function_inputs,processed,error
9778003,1750690524,1,0x30e48a9A39a8987419F2dF718993fFe730D253E4,0xdec043f5fd2314273fe4bbf1717950ad16c29dd1e436865acee4c3133bf92d86,MigratorM1V8_1,migrateDelegatorData,"[""4"",""0x3077F103BD9a7690c88767f6c073f286BD232317""]",false,
9778004,1750690530,0,0x30e48a9A39a8987419F2dF718993fFe730D253E4,0xd9e242b2dc77e032f16f73f7384dc4af1864e027d800c9376150bdc4ea47870e,MigratorM1V8_1,migrateDelegatorData,"[""5"",""0x1ed5ea3035c2A9d3C6E89205516257fB0A8ae6Cd""]",false,
9778005,1750690536,2,0x30e48a9A39a8987419F2dF718993fFe730D253E4,0x9f70efe2359754ea6782b493c1473b6e6e25d800b24baf19e89b4335d989af70,MigratorM1V8_1,migrateDelegatorData,"[""5"",""0x3077F103BD9a7690c88767f6c073f286BD232317""]",false,
9778012,1750690584,8,0x30e48a9A39a8987419F2dF718993fFe730D253E4,0x47c5a2320ea7999e089ded0fc6d49ae1cf95ccc0a04521c92c8d8d05dd6724ae,MigratorM1V8_1,migrateDelegatorData,"[""6"",""0x1ed5ea3035c2A9d3C6E89205516257fB0A8ae6Cd""]",false,
9778012,1750690584,7,0x30e48a9A39a8987419F2dF718993fFe730D253E4,0xfa083e41ee9e9805f59f5213c661eb4b278aad09d2a305994ab2b6298a02eb45,MigratorM1V8_1,migrateDelegatorData,"[""6"",""0x3077F103BD9a7690c88767f6c073f286BD232317""]",false,
9778012,1750690584,10,0x30e48a9A39a8987419F2dF718993fFe730D253E4,0x8617c8fc3999ec9b1bc9b7b9923713cb5be2ea0501e4c581a4fed9db7caeb623,MigratorM1V8_1,migrateDelegatorData,"[""8"",""0x1ed5ea3035c2A9d3C6E89205516257fB0A8ae6Cd""]",false,
9778012,1750690584,9,0x30e48a9A39a8987419F2dF718993fFe730D253E4,0x180e1f9cda0717d3e944c9600c3233620548eeb929975e68caf0cad9d8c36e2b,MigratorM1V8_1,migrateDelegatorData,"[""7"",""0x1ed5ea3035c2A9d3C6E89205516257fB0A8ae6Cd""]",false,
9778013,1750690590,0,0x30e48a9A39a8987419F2dF718993fFe730D253E4,0xdd8f04a3278c97a78b8a812c99b0f9470006166af13c9872b653ab7bc5448542,MigratorM1V8_1,migrateDelegatorData,"[""8"",""0x3077F103BD9a7690c88767f6c073f286BD232317""]",false,
9778016,1750690608,0,0x30e48a9A39a8987419F2dF718993fFe730D253E4,0x22ab537016ee28d2abe1fc38587780e481d822924154fc6b623dd41e72b2fa5c,MigratorM1V8_1,migrateDelegatorData,"[""9"",""0xB31fB8F1629fd1523bBd4f0AEf474bEce3e3453E""]",false,
9778016,1750690608,1,0x30e48a9A39a8987419F2dF718993fFe730D253E4,0x2dcdf9f68298fbe3ef9a43728dcd647a39a6b8c085b41f2303519e998fb2c656,MigratorM1V8_1,migrateDelegatorData,"[""9"",""0x1ed5ea3035c2A9d3C6E89205516257fB0A8ae6Cd""]",false,
